Total_Mb,Number_of_Muts,TMB,source
35.52,563,15.85,ARD_WGS_2023_1
35.52,554,15.6,BGI_T10_WGS_2023_1
35.52,560,15.76,BGI_T10_WGS_2023_2
35.52,609,17.14,BGI_T10_WGS_2021_3
35.52,598,16.83,BGI_T10_WGS_2021_1
35.52,531,14.95,BGI_T10_WGS_2023_3
35.52,595,16.75,BGI_T10_WGS_2021_2
35.52,572,16.1,BGI_T20_WGS_2023_1
35.52,604,17.0,BGI_T20_WGS_2021_1
35.52,597,16.81,BGI_T20_WGS_2021_3
35.52,599,16.86,BGI_T20_WGS_2021_2
35.52,581,16.36,BGI_T20_WGS_2023_3
35.52,565,15.91,BGI_T20_WGS_2023_2
35.52,575,16.19,BGI_T7_WGS_2023_1
35.52,539,15.17,NVG_WGS_2023_1
35.52,566,15.93,WGE_WGS_2023_1
35.52,606,17.06,WGS_WUX_2021_1
35.52,590,16.61,WGS_WUX_2021_2
35.52,580,16.33,WGS_WUX_2023_3
35.52,592,16.67,WGS_WUX_2021_3
35.52,551,15.51,WGS_WUX_2023_1
35.52,566,15.93,WGS_WUX_2023_2
