"Group","mean_pl","sd_pl","mean_rn","sd_rn"
"ANO_WGS_HCC1395",1.07,0.07,0.18,0.01
"ANO_WGS_HCC1395BL",1.21,0.22,0.29,0.03
"BMK_WGS_HCC1395",0.77,0.06,0.18,0.01
"BMK_WGS_HCC1395BL",0.86,0.03,0.3,0.02
"JTB_WGS_HCC1395",0.89,0.09,0.2,0.01
"JTB_WGS_HCC1395BL",1.03,0.07,0.33,0.02
"MGI_WGS_HCC1395",0.62,0.21,0.18,0.02
"MGI_WGS_HCC1395BL",0.78,0.26,0.29,0.04
"NVG_WGS_HCC1395",1.34,0.35,0.22,0.01
"NVG_WGS_HCC1395BL",1.62,0.41,0.36,0.03
"SL_WGS_HCC1395",0.52,0.11,0.2,0.03
"SL_WGS_HCC1395BL",0.6,0.05,0.36,0.01
"run3-JTB_WGS_HCC1395BL",1.04,0.06,0.33,0
"run5-JTB_WGS_HCC1395BL",1.11,0.09,0.36,0.01
