"Sample_uniq","mean_bq","mean_gc","mean_total","mean_dup"
"ARD_WGS_2023_1",0.959,0.406,1548.45,0.002
"BGI10_WGS_2023_1",0.91,0.3965,2396.25,0.0095
"BGI10_WGS_2023_2",0.9185,0.398,3088.8,0.0225
"BGI10_WGS_2023_3",0.908,0.395,2343.95,0.0135
"BGI20_WGS_2023_1",0.94,0.4065,3608.2,0.0075
"BGI20_WGS_2023_2",0.9385,0.4055,3817.2,0.01
"BGI20_WGS_2023_3",0.939,0.4055,4074.1,0.0095
"BGI7_WGS_2023_1",0.9395,0.403,2268.45,0.001
"NVG_WGS_2023_1",0.9165,0.418,1194.5,0.197
"WGE_WGS_2023_1",0.9025,0.407,1378.35,0.001
"WUX_WGS_2023_1",0.9065,0.4065,1182,0.049
"WUX_WGS_2023_2",0.904,0.4075,1295.35,0.0675
"WUX_WGS_2023_3",0.8945,0.406,1388.7,0.0525
