"Group","mean_bq","sd_bq","mean_gc","sd_gc","mean_total","sd_total","mean_dup","sd_dup"
"ARD_WGS_HCC1395",0.957,NA,0.406,NA,1529,NA,0.002,NA
"ARD_WGS_HCC1395BL",0.961,NA,0.406,NA,1567.9,NA,0.002,NA
"BGI_T10_WGS_HCC1395",0.914,0.00346410161513776,0.396666666666667,0.00115470053837925,2679.26666666667,383.034258694093,0.0173333333333333,0.0055075705472861
"BGI_T10_WGS_HCC1395BL",0.910333333333333,0.00776745346515404,0.396333333333333,0.00208166599946613,2540.06666666667,522.534729308333,0.013,0.0104403065089106
"BGI_T20_WGS_HCC1395",0.939,0.00173205080756881,0.405666666666667,0.00115470053837922,4042.2,559.863563736738,0.00966666666666667,0.00152752523165195
"BGI_T20_WGS_HCC1395BL",0.939333333333333,0.00208166599946607,0.406,0,3624.13333333333,99.1067269832545,0.00833333333333333,0.00115470053837925
"BGI_T7_WGS_HCC1395",0.944,NA,0.404,NA,2491.5,NA,0.001,NA
"BGI_T7_WGS_HCC1395BL",0.935,NA,0.402,NA,2045.4,NA,0.001,NA
"NVG_WGS_HCC1395",0.91,NA,0.419,NA,1197.2,NA,0.24,NA
"NVG_WGS_HCC1395BL",0.923,NA,0.417,NA,1191.8,NA,0.154,NA
"WGE_WGS_HCC1395",0.899,NA,0.407,NA,1388.1,NA,0.001,NA
"WGE_WGS_HCC1395BL",0.906,NA,0.407,NA,1368.6,NA,0.001,NA
"WUX_WGS_HCC1395",0.902666666666667,0.0200333056017556,0.407,0.000999999999999973,1237.06666666667,86.873778168866,0.0496666666666667,0.00650640709864771
"WUX_WGS_HCC1395BL",0.900666666666667,0.00971253485622232,0.406333333333333,0.000577350269189594,1340.3,138.497039679554,0.063,0.01552417469626
