"Group","mean_polution","sd_population","mean_RNA","sd_RNA"
"ARD_WGS_HCC1395",0.414999999999992,0.0212132034355972,0.204999999999998,0.00707106781185904
"ARD_WGS_HCC1395BL",0.515000000000001,0.0212132034355972,0.329999999999998,0
"BGI_T10_WGS_HCC1395",0.359999999999999,0.0400000000000027,0.13666666666667,0.0103279555898771
"BGI_T10_WGS_HCC1395BL",0.540000000000004,0.0740270220932853,0.201666666666661,0.0116904519445004
"BGI_T20_WGS_HCC1395",0.684999999999997,0.255401644473951,0.150000000000001,0.0236643191324034
"BGI_T20_WGS_HCC1395BL",0.769999999999998,0.306855014624174,0.249999999999998,0.0063245553203355
"BGI_T7_WGS_HCC1395",0.499999999999993,0.0141421356237281,0.170000000000002,0
"BGI_T7_WGS_HCC1395BL",0.510000000000005,0.0282842712474563,0.239999999999995,0
"NVG_WGS_HCC1395",1.12,0.127279220613573,0.215000000000003,0.00707106781185904
"NVG_WGS_HCC1395BL",1.59999999999999,0.169705627484778,0.309999999999988,0
"WGE_WGS_HCC1395",0.460000000000001,0.0707106781186608,0.185000000000002,0.00707106781185904
"WGE_WGS_HCC1395BL",0.504999999999995,0.0353553390593354,0.22999999999999,0
"WUX_WGS_HCC1395",0.999999999999998,0.107703296142692,0.176666666666672,0.0186189867250226
"WUX_WGS_HCC1395BL",1.07666666666667,0.116218185610802,0.293333333333329,0.0103279555898826
