"Sample","Temperature","STDEV","T0.95","Beta1","Beta1.std","Stability"
"HCC1395","4°C",12.4011240937215,2.30600413520417,-0.00621468926553683,0.0194534139811592,"Yes"
"HCC1395BL","4°C",12.4011240937214,2.30600413520417,-0.0333333333333332,0.0164677393918524,"Yes"
"F7","4°C",35.9292233552173,2.30600413520417,-0.0338983050847459,0.0556249048472063,"Yes"
"HCC1395","-20°C",25.2712556798503,2.30600413520417,-0.0378531073446329,0.0380037478139262,"Yes"
"HCC1395BL","-20°C",16.966991126266,2.30600413520417,-0.0485875706214691,0.0218987598560464,"Yes"
"F7","-20°C",12.8805702866407,2.30600413520417,0.0276836158192089,0.018324604226245,"Yes"
"HCC1395","-80°C",18.0067327475704,2.30600413520417,-0.0395480225988703,0.0254876785172822,"Yes"
"HCC1395BL","-80°C",11.3818036595899,2.30600413520417,-0.0220338983050847,0.0165373707357972,"Yes"
"F7","-80°C",11.1464085804542,2.30600413520417,0.0169491525423724,0.0167369007559641,"Yes"
