"Sample","Temperature","T0.95","Beta1","Beta1.std","Stability"
"F7","4°C",2.22813885198627,0.00466666666666667,0.00504001085333249,"Yes"
"HCC1395","4°C",2.22813885198627,-0.00199999999999965,0.00217993962121373,"Yes"
"HCC1395BL","4°C",2.22813885198627,-0.00399999999999981,0.00517720183143546,"Yes"
"F7","-20°C",2.22813885198627,-0.00733333333333335,0.00505355929404826,"Yes"
"HCC1395","-20°C",2.22813885198627,-0.0266666666666665,0.00366083452257942,"No"
"HCC1395BL","-20°C",2.22813885198627,-0.0106666666666666,0.00738675182770495,"Yes"
"F7","-80°C",2.22813885198627,-0.0146666666666667,0.00324498297837055,"No"
"HCC1395","-80°C",2.22813885198627,-0.0299999999999999,0.00484635734208483,"No"
"HCC1395BL","-80°C",2.22813885198627,-0.0133333333333332,0.00611010092660778,"Yes"
